Lambda,avgtrain,testavg
10,70.63256100793222,77.36288913586397
20,28.967779467963048,31.096672589263672
30,17.31333109695914,18.65487895113665
40,11.958422672688222,12.990168239497034
50,9.608055831359952,10.769771889610679
60,7.791595098418358,9.219331458864838
70,7.160672515217274,7.403805474405618
80,6.40684418094697,7.269989242253058
90,5.944334714920898,6.632187198773866
100,5.5576230379165175,6.315423582438724
110,5.3192065634077945,6.17331985914592
120,5.075539690854198,5.728585562278498
130,4.819319063408282,5.8832084520253405
140,4.82318543490318,5.6883721821738975
150,4.634565595727052,5.532232800006928
160,4.613732212299417,5.409465856089625
170,4.642378768059858,5.33954975302491
180,4.666180128186239,5.278402858364266
190,4.373642173078137,5.209999031385089
200,4.556307298399984,5.187658747024051
210,4.492879762348948,5.098018022164963
220,4.474664533280525,5.034806087980261
230,4.3140290044825385,5.065614922349487
240,4.162479807929696,4.989472360551072
250,4.269734546606792,5.017467829739394
260,4.255194831384206,4.958092538492019
270,4.164116677484576,4.978673476671964
280,4.06880505641851,4.9626605383321545
290,4.104602464686362,4.9636947591575655
300,4.178759631062873,4.9130586040789925
310,4.332836417661423,4.854225477745789
320,4.062031953684239,4.896655327593269
330,4.025285548003439,4.898069914592528
340,4.26089712632914,4.85301043112153
350,4.060955914613414,4.866797673378149
360,3.9299411544311993,4.848287938796586
370,3.996602268232664,4.81260960370398
380,4.010614733017858,4.827227705638254
390,4.117497418937227,4.818371946410218
400,3.9450308755479737,4.827360616499294
410,4.085930284032395,4.792531219801164
420,4.029478381969705,4.767782346624572
430,4.003697060633628,4.784515282508426
440,4.050940468617244,4.777042740373717
450,3.9103132027596583,4.807212603966389
460,3.89826810825985,4.766874030517533
470,4.006122502893711,4.742635481584628
480,4.050773851291104,4.751263336770235
490,3.900846740388095,4.758658193026945
500,3.9585433729484114,4.729808627375224
510,4.012168247373357,4.724860101918571
520,4.003885417668159,4.755577992128106
530,3.9769648063398133,4.7000161727419085
540,3.8396434757407634,4.705258865899031
550,3.918751997522837,4.704129443338335
560,3.912196940138809,4.711202767380018
570,3.8607553990835077,4.686756680986566
580,3.8975692641179944,4.688260420639948
590,4.000504839609096,4.688913780387508
600,3.8562570934411244,4.677155496727564
610,3.7862964376767776,4.677197535970225
620,3.791550238560446,4.669190906495726
630,3.8399320242227764,4.68071901687095
640,3.85958844709514,4.6563107777466906
650,3.9145651794557565,4.674406952081084
660,3.7916845211329226,4.676786049536134
670,3.885824305430282,4.693466623980285
680,3.8878867492632847,4.653144497602267
690,3.9001771223199118,4.6429538825630186
700,3.831150618179152,4.643423675282997
710,3.81470156335286,4.666566038702287
720,3.8885316721405974,4.647747442803903
730,3.8058655866273137,4.627885901054115
740,3.8162195319630863,4.6421043116516065
750,3.811570696459499,4.6250290390405295
760,3.7948722792414618,4.640521048943437
770,3.7739258048116895,4.636515077886725
780,3.803444747349307,4.619693922236768
790,3.9012931376237514,4.603723512202763
800,3.7843062735687663,4.628337035454207
810,3.799929509466345,4.6071463991016435
820,3.7065364807029093,4.6182998146648115
830,3.7331751538847198,4.612223565680447
840,3.834846526293503,4.599528273196767
850,3.804207658793575,4.607690402610287
860,3.7357091588195552,4.602768964421505
870,3.8108950957455163,4.61057903912707
880,3.740600546816144,4.577803974111009
890,3.7696745866321675,4.590345172235646
900,3.7457695542500105,4.58589393337852
910,3.759882814630926,4.575449500075567
920,3.766587469039193,4.576299990589537
930,3.771564968383376,4.576272132640424
940,3.818866223623027,4.575629250813222
