Lambda,MSE,testerror
0.0,1.5689724452255398,12.83827105661495
1.0,1.719251505488048,7.616826996942863
2.0,1.8760249183676876,6.454421365336725
3.0,2.0064865900759017,5.926382124082996
4.0,2.1180762709351098,5.62428793022961
5.0,2.216007795850406,5.42962797338142
6.0,2.3035307676434154,5.29489848366817
7.0,2.3827746802650793,5.197171428206774
8.0,2.455219241987166,5.123943790785072
9.0,2.5219451727466113,5.0677828372820475
10.0,2.583773923821903,5.023977604534265
11.0,2.6413499192288086,4.989391351497803
12.0,2.695191562778189,4.961852461854072
13.0,2.7457243795003294,4.939809290741876
14.0,2.7933034378860992,4.922123940002758
15.0,2.838229058168264,4.907943535905693
16.0,2.880758151787644,4.896616883800143
17.0,2.921112620748341,4.887638797128132
18.0,2.9594857188692156,4.8806119035137785
19.0,2.996046962901017,4.875219825748183
20.0,3.0309459878996705,4.871207963222422
21.0,3.0643156182565456,4.868369470515038
22.0,3.0962743454804356,4.866534863251939
23.0,3.126928350077639,4.865564202184256
24.0,3.1563731680784586,4.865341140063644
25.0,3.1846950770575004,4.865768334428636
26.0,3.2119722581993777,4.86676387543818
27.0,3.2382757777191524,4.86825847725345
28.0,3.2636704212193557,4.870193250214899
29.0,3.28821540730803,4.872517919330097
30.0,3.3119650013304316,4.875189388975012
31.0,3.334969045880354,4.878170578496861
32.0,3.357273421530802,4.881429471505767
33.0,3.37892044870304,4.88493833498923
34.0,3.3999492396109545,4.888673074331036
35.0,3.420396007644837,4.892612697800057
36.0,3.440294340299903,4.896738869755419
37.0,3.4596754407402317,4.90103553615955
38.0,3.4785683422661116,4.905488609342737
39.0,3.497000099280928,4.910085701565298
40.0,3.514995957802915,4.914815898962871
41.0,3.532579508108614,4.91966956905611
42.0,3.5497728217204916,4.9246381962830785
43.0,3.5665965746316624,4.929714241016982
44.0,3.58307015839871,4.934891018343313
45.0,3.599211780510948,4.940162593525587
46.0,3.61503855525321,4.945523691608108
47.0,3.6305665861244187,4.9509696190405466
48.0,3.6458110407333266,4.956496195553107
49.0,3.6607862189801508,4.962099694800527
50.0,3.675505615231024,4.967776792527978
51.0,3.6899819751071807,4.973524521207185
52.0,3.7042273474370253,4.979340230251669
53.0,3.718253131854612,4.985221551057518
54.0,3.7320701224722703,4.991166366223568
55.0,3.745688548008501,4.99717278240493
56.0,3.7591181087068777,5.003239106326526
57.0,3.7723680103486323,5.009363823556517
58.0,3.785446995625128,5.0155455796891335
59.0,3.7983633731128075,5.02178316364161
60.0,3.811125044062484,5.02807549280246
61.0,3.8237395271984043,5.034421599810369
62.0,3.836213981698992,5.040820620767828
63.0,3.848555228515225,5.047271784719642
64.0,3.860769770168504,5.053774404251445
65.0,3.872863809153566,5.060327867076539
66.0,3.8848432650622953,5.066931628500607
67.0,3.896713790532006,5.073585204664829
68.0,3.908480786113104,5.080288166481369
69.0,3.9201494141405586,5.087040134183639
70.0,3.931724611688769,5.093840772426562
71.0,3.943211102679655,5.100689785876233
72.0,3.9546134092085525,5.107586915236522
73.0,3.9659358621474854,5.114531933667665
74.0,3.9771826110793675,5.121524643554422
75.0,3.988357633612433,5.128564873588995
76.0,3.9994647441206226,5.135652476135687
77.0,4.010507601949843,5.142787324847856
78.0,4.0214897191302095,5.149969312513772
79.0,4.032414467626802,5.157198349105593
80.0,4.043285086163257,5.16447436001457
81.0,4.054104686645931,5.171797284451207
82.0,4.064876260217051,5.179167073996414
83.0,4.075602682960894,5.186583691287412
84.0,4.086286721287006,5.194047108826404
85.0,4.09693103701164,5.2015573079005435
86.0,4.107538192156284,5.209114277600757
87.0,4.118110653483691,5.216718013933527
88.0,4.128650796785092,5.22436851901228
89.0,4.139160910937488,5.232065800325454
90.0,4.149643201744189,5.239809870071836
91.0,4.160099795570952,5.2476007445562525
92.0,4.170532742792767,5.255438443642615
93.0,4.180944021061085,5.263322990256982
94.0,4.191335538402286,5.271254409936283
95.0,4.2017091361592325,5.27923273042014
96.0,4.212066591783132,5.2872579812800415
97.0,4.222409621485745,5.295330193583297
98.0,4.232739882760407,5.303449399589724
99.0,4.2430589767777445,5.311615632475368
100.0,4.253368450665497,5.319828926084256
101.0,4.263669799677683,5.328089314703424
102.0,4.2739644692591305,5.3363968328595455
103.0,4.284253857012491,5.344751515136135
104.0,4.294539314571715,5.353153396008371
105.0,4.304822149388395,5.361602509695016
106.0,4.315103626434833,5.37009889002545
107.0,4.325384969828384,5.3786425703197125
108.0,4.335667364381945,5.387233583282285
109.0,4.345951957084646,5.395871960907363
110.0,4.35623985851444,5.404557734393382
111.0,4.366532144189058,5.413290934068459
112.0,4.376829855856496,5.4220715893241875
113.0,4.387134002729019,5.43089972855739
114.0,4.3974455626628295,5.43977537911877
115.0,4.407765483287372,5.4486985672690915
116.0,4.418094683085594,5.457669318140602
117.0,4.428434052428518,5.4666876557047255
118.0,4.438784454565381,5.475753602743795
119.0,4.449146726572964,5.484867180828546
120.0,4.459521680264675,5.494028410298876
121.0,4.4699101030623165,5.503237310248914
122.0,4.480312758831711,5.512493898515246
123.0,4.490730388684572,5.521798191668565
124.0,4.501163711747366,5.5311502050078
125.0,4.511613425899547,5.5405499525570905
126.0,4.5220802084824605,5.549997447065358
127.0,4.532564716979362,5.559492700007181
128.0,4.543067589669209,5.569035721586284
129.0,4.55358944625477,5.578626520740605
130.0,4.564130888465924,5.588265105148658
131.0,4.57469250064031,5.5979514812378595
132.0,4.585274850280564,5.607685654192929
133.0,4.595878488591573,5.617467627966963
134.0,4.606503950996471,5.627297405292407
135.0,4.617151757633371,5.637174987692931
136.0,4.627822413833778,5.647100375496734
137.0,4.638516410582989,5.657073567850102
138.0,4.649234224963486,5.667094562731446
139.0,4.6599763205819436,5.677163356965978
140.0,4.670743147981081,5.687279946241251
141.0,4.6815351450361025,5.697444325122363
142.0,4.6923527373368765,5.707656487067814
143.0,4.703196338556975,5.7179164244460345
144.0,4.714066350808648,5.72822412855116
145.0,4.72496316498628,5.738579589620132
146.0,4.735887161096841,5.7489827968489635
147.0,4.7468387085793795,5.759433738409744
148.0,4.757818166613158,5.7699324014672
149.0,4.768825884415232,5.780478772195815
