Lambda,MSE,testerror
1.0,0.9160771343178967,7.841704444162944
2.0,1.2192870041284605,6.546719803525716
3.0,1.4262564921710075,6.073531978522792
4.0,1.5922126764241329,5.815310661893027
5.0,1.7337509325741127,5.650264163709256
6.0,1.8581822329094815,5.535964056594834
7.0,1.969543741396737,5.453016488553451
8.0,2.070405672620335,5.391028427453563
9.0,2.1625620701047272,5.343827429608397
10.0,2.24734427795334,5.3074768624894055
11.0,2.325782850178379,5.279331604303994
12.0,2.398699978335247,5.257542125937646
13.0,2.466766536748617,5.240773886916
14.0,2.530539509172072,5.228039064406755
15.0,2.5904877548619614,5.218590846413568
16.0,2.647010438141773,5.21185445682273
17.0,2.700450621155808,5.2073807021143494
18.0,2.7511055425296393,5.204813837421771
19.0,2.799234551555693,5.203868821829122
20.0,2.8450653389946634,5.204314895538002
21.0,2.888798902155389,5.205963512809521
22.0,2.9306135513202696,5.208659337343407
23.0,2.970668178081877,5.212273429680328
24.0,3.009104947266438,5.216698028867268
25.0,3.0460515330678004,5.221842510384592
26.0,3.0816229907885786,5.2276302232559795
27.0,3.1159233343925736,5.233995992075161
28.0,3.1490468744511957,5.240884127339304
29.0,3.181079359384372,5.248246828213049
30.0,3.2120989540464664,5.256042891026555
31.0,3.242177082921679,5.2642366579684685
32.0,3.271379159939765,5.272797155958597
33.0,3.2997652228083107,5.281697387187989
34.0,3.3273904865177304,5.290913741436052
35.0,3.3543058280911864,5.3004255067783665
36.0,3.3805582125855516,5.310214460263987
37.0,3.4061910686810033,5.320264523951344
38.0,3.4312446208384313,5.330561474635954
39.0,3.4557561839033872,5.341092697913092
40.0,3.4797604251170418,5.351846979008774
41.0,3.5032895977517255,5.362814324245693
42.0,3.5263737499606203,5.373985808139189
43.0,3.5490409119120745,5.3853534420169344
44.0,3.571317263847068,5.39691006078923
45.0,3.593227287327977,5.408649225072927
46.0,3.6147939016417046,5.420565136351786
47.0,3.636038587057464,5.432652563242019
48.0,3.656981496416313,5.444906777243992
49.0,3.6776415563413365,5.457323496625302
50.0,3.69803655919387,5.469898837290264
51.0,3.718183246762132,5.482629269671099
52.0,3.7380973865487666,5.495511580820899
53.0,3.757793841420354,5.508542841013279
54.0,3.7772866332909634,5.521720374253054
55.0,3.7965890014373547,5.535041732194335
56.0,3.8157134559693096,5.548504671024627
57.0,3.8346718269280817,5.562107130948149
58.0,3.8534753094260106,5.5758472179402725
59.0,3.872134505200886,5.589723187498757
60.0,3.8906594609152103,5.603733430147711
61.0,3.909059703499507,5.617876458490149
62.0,3.9273442728014523,5.632150895620425
63.0,3.9455217517843146,5.646555464746253
64.0,3.9636002944854734,5.661088979876349
65.0,3.981587651929436,5.675750337455433
66.0,3.9994911961703714,5.690538508841246
67.0,4.017317942619625,5.705452533528924
68.0,4.035074570801848,5.72049151304283
69.0,4.052767443667954,5.735654605423664
70.0,4.070402625581401,5.750941020246166
71.0,4.0879858990843125,5.766350014113386
72.0,4.105522780539113,5.781880886576183
73.0,4.123018534733962,5.7975329764352335
74.0,4.140478188531531,5.813305658385872
75.0,4.157906543633968,5.829198339971797
76.0,4.1753081885309395,5.845210458816224
77.0,4.192687509690583,5.861341480102518
78.0,4.210048702050881,5.877590894281887
79.0,4.227395778860318,5.89395821498368
80.0,4.244732580916246,5.9104429771103835
81.0,4.262062785243227,5.9270447350992885
82.0,4.2793899132504745,5.943763061334671
83.0,4.296717338405646,5.960597544697469
84.0,4.314048293457332,5.9775477892384705
85.0,4.331385877237929,5.994613412964565
86.0,4.348733061074643,6.011794046727407
87.0,4.366092694835115,6.029089333205301
88.0,4.383467512631882,6.046498925969733
89.0,4.400860138208022,6.064022488629635
90.0,4.41827309002453,6.081659694045634
91.0,4.4357087860690365,6.099410223608994
92.0,4.4531695484028315,6.117273766579004
93.0,4.470657607464123,6.13525001947457
94.0,4.488175106140566,6.153338685513776
95.0,4.50572410362826,6.17153947410017
96.0,4.523306579087134,6.189852100347806
97.0,4.540924435107847,6.2082762846460255
98.0,4.558579500999998,6.2268117522578565
99.0,4.576273535912484,6.245458232949729
100.0,4.594008231796613,6.264215460650999
101.0,4.6117852162207145,6.283083173139893
102.0,4.62960605504481,6.302061111753893
103.0,4.6474722549635405,6.321149021122465
104.0,4.665385265925036,6.3403466489209075
105.0,4.683346483432761,6.359653745643203
106.0,4.701357250736536,6.379070064392244
107.0,4.719418860919359,6.398595360686281
108.0,4.737532558885342,6.418229392280134
109.0,4.755699543255341,6.437971919001123
110.0,4.773920968172877,6.457822702595679
111.0,4.792197945028313,6.477781506589662
112.0,4.810531544103204,6.497848096158472
113.0,4.828922796140339,6.518022238007205
114.0,4.8473726938424235,6.538303700259717
115.0,4.86588219330489,6.558692252357372
116.0,4.884452215383611,6.579187664963873
117.0,4.903083647003755,6.599789709879037
118.0,4.921777342410235,6.620498159957884
119.0,4.940534124364912,6.641312789037121
120.0,4.959354785291345,6.662233371866612
121.0,4.978240088371001,6.683259684046146
122.0,4.997190768592756,6.704391501967528
123.0,5.016207533758569,6.725628602761372
124.0,5.035291065446073,6.746970764247093
125.0,5.054442019932309,6.768417764888042
126.0,5.073661029078408,6.789969383749471
127.0,5.092948701178697,6.811625400460301
128.0,5.112305621774271,6.833385595177186
129.0,5.131732354435159,6.85524974855305
130.0,5.15122944150932,6.877217641706226
131.0,5.1707974048431575,6.899289056193739
132.0,5.190436746472764,6.92146377398622
133.0,5.210147949288186,6.943741577444835
134.0,5.229931477671609,6.966122249300428
135.0,5.249787778110606,6.988605572634202
136.0,5.269717279788393,7.011191330860711
137.0,5.289720395150146,7.033879307711273
138.0,5.309797520449388,7.056669287220441
139.0,5.329949036272163,7.079561053712176
140.0,5.350175308042383,7.102554391788333
141.0,5.370476686508117,7.1256490863180435
142.0,5.390853508209575,7.148844922428021
143.0,5.4113060959299375,7.172141685493768
144.0,5.431834759129543,7.195539161131966
145.0,5.452439794364806,7.219037135194028
146.0,5.473121485690931,7.242635393759452
147.0,5.49388010505073,7.266333723130563
148.0,5.51471591264977,7.290131909828256
149.0,5.5356291573173655,7.314029740587411
150.0,5.556620076855407,7.338027002353676
