Lambda,MSE,testerror
1.0,0.3828558822957809,6.8045032295415036
2.0,0.7508452003264985,6.03718627682071
3.0,1.0278417708370364,5.757459490817132
4.0,1.2481176123651034,5.629594899180226
5.0,1.4316009237206382,5.565861532278723
6.0,1.5894733351938661,5.534564442981176
7.0,1.728452838282834,5.521781779729655
8.0,1.8528643416712418,5.520531126652829
9.0,1.9656609082561842,5.526956829759131
10.0,2.0689588304933553,5.538768974756475
11.0,2.1643356473094606,5.554528060626359
12.0,2.2530055616327975,5.5732872072479465
13.0,2.3359278555898815,5.59440018316702
14.0,2.4138768262394374,5.617412306369194
15.0,2.487488625180261,5.641995398545881
16.0,2.5572936800532364,5.667907402448351
17.0,2.623739794520117,5.694966429276039
18.0,2.687209030167637,5.723033575461591
19.0,2.7480303227270158,5.75200124737235
20.0,2.806489097589504,5.781785046687913
21.0,2.862834726406084,5.812318016893998
22.0,2.917286398697413,5.843546491130061
23.0,2.9700378085050776,5.8754270481379365
24.0,3.0212609405681308,5.907924248909365
25.0,3.0711091620736966,5.941008932335859
26.0,3.119719771738021,5.974656917021142
27.0,3.1672161196989426,6.008848002141497
28.0,3.2137093842737134,6.043565191167153
29.0,3.259300071669492,6.078794083508783
30.0,3.3040792899966176,6.1145223939803195
31.0,3.348129837912036,6.150739570460465
32.0,3.391527139875141,6.187436487646627
33.0,3.434340053607754,6.224605200239253
34.0,3.476631570410814,6.262238742887386
35.0,3.5184594251272356,6.300330967176752
36.0,3.559876629502568,6.338876408150227
37.0,3.6009319402744433,6.377870174510417
38.0,3.641670271390989,6.417307857921429
39.0,3.6821330581949008,6.457185457790697
40.0,3.72235858014456,6.497499318659875
41.0,3.762382247609377,6.538246077913394
42.0,3.802236857424498,6.579422621964983
43.0,3.841952821189586,6.621026049438508
44.0,3.8815583697116325,6.663053640142547
45.0,3.921079736505583,6.705502828858882
46.0,3.9605413228575577,6.748371183145034
47.0,3.9999658466149723,6.791656384498068
48.0,4.039374476572412,6.83535621233378
49.0,4.078786954080866,6.8794685303392225
50.0,4.1182217032947745,6.923991274824568
51.0,4.157695931293473,6.968922444767602
52.0,4.197225719160124,7.014260093293522
53.0,4.236826104966913,7.060002320371607
54.0,4.276511159505265,7.106147266552239
55.0,4.316294055496361,7.152693107587089
56.0,4.356187130936117,7.199638049808089
57.0,4.396201947150805,7.246980326152833
58.0,4.436349342077178,7.294718192746238
59.0,4.476639479223007,7.342849925959706
60.0,4.517081892714791,7.391373819880631
61.0,4.5576855287946065,7.440288184134737
62.0,4.598458784092605,7.489591342014257
63.0,4.639409540963891,7.53928162886822
64.0,4.680545200152367,7.589357390720569
65.0,4.721872711015263,7.639816983084402
66.0,4.763398599519636,7.6906587699461975
67.0,4.805128994201635,7.741881122897771
68.0,4.847069650259328,7.793482420394583
69.0,4.889225971936251,7.845461047126184
70.0,4.931603033333908,7.897815393480494
71.0,4.974205597783262,7.950543855092753
72.0,5.017038135888816,8.003644832465314
73.0,5.0601048423521675,8.057116730650518
74.0,5.103409651669151,8.1109579589869
75.0,5.146956252789164,8.165166930882865
76.0,5.190748102814872,8.219742063639764
77.0,5.234788439816549,8.274681778311637
78.0,5.279080294825065,8.329984499593182
79.0,5.323626503066493,8.385648655734906
80.0,5.368429714493013,8.441672678481053
81.0,5.413492403659665,8.49805500302449
82.0,5.458816878997429,8.554794067981573
83.0,5.504405291520642,8.611888315377206
84.0,5.550259643013272,8.669336190645147
85.0,5.5963817937258895,8.727136142635482
86.0,5.642773469620829,8.785286623633207
87.0,5.689436269193197,8.843786089381997
88.0,5.736371669897933,8.902632999114214
89.0,5.78358103420936,8.961825815586709
90.0,5.831065615336151,9.021363005118848
91.0,5.87882656261592,9.081243037635296
92.0,5.92686492660874,9.141464386709691
93.0,5.975181663910145,9.202025529611241
94.0,6.0237776417003195,9.262924947351616
95.0,6.072653642047179,9.324161124733273
96.0,6.121810365977815,9.385732550397934
97.0,6.171248437333534,9.447637716875484
98.0,6.2209684064204165,9.509875120631595
99.0,6.270970753469595,9.57244326211636
100.0,6.3212558919172706,9.635340645811088
101.0,6.371824171515588,9.698565780274611
102.0,6.422675881285249,9.762117178189039
103.0,6.473811252317929,9.825993356404028
104.0,6.525230460437566,9.890192835979242
105.0,6.576933628729558,9.954714142226724
106.0,6.628920829944206,10.019555804751068
107.0,6.681192088782593,10.084716357488704
108.0,6.733747384070232,10.150194338745031
109.0,6.786586650826399,10.215988291230856
110.0,6.839709782233472,10.282096762096819
111.0,6.893116631513113,10.348518302967115
112.0,6.946807013712279,10.415251469970123
113.0,7.000780707406996,10.482294823769477
114.0,7.055037456325594,10.54964692959276
115.0,7.109576970896617,10.617306357258046
116.0,7.164398929726321,10.685271681200435
117.0,7.219502981007646,10.753541480496063
118.0,7.2748887438664225,10.822114338885457
119.0,7.330555809645517,10.890988844794872
120.0,7.3865037431324545,10.960163591356663
121.0,7.44273208373212,11.029637176428535
122.0,7.499240346587583,11.09940820261125
123.0,7.556028023651263,11.169475277264606
124.0,7.613094584710025,11.239837012523406
125.0,7.6704394783656475,11.31049202531147
126.0,7.728062132972236,11.381438937354126
127.0,7.78596195753441,11.452676375190517
128.0,7.844138342566664,11.524202970184254
129.0,7.902590660916725,11.596017358533434
130.0,7.961318268553288,11.668118181278672
131.0,8.020320505321944,11.740504084311423
132.0,8.079596695668855,11.813173718380623
133.0,8.13914614933494,11.886125739098807
134.0,8.198968162020591,11.959358806946545
135.0,8.25906201602426,12.032871587277018
136.0,8.319426980854052,12.106662750319074
137.0,8.380062313815385,12.18073097118015
138.0,8.440967260573936,12.255074929847286
139.0,8.502141055696926,12.329693311188871
140.0,8.56358292317219,12.404584804954343
141.0,8.625292076906737,12.479748105773995
142.0,8.687267721205737,12.555181913157913
143.0,8.749509051232517,12.63088493149413
144.0,8.812015253450557,12.706855870046533
145.0,8.874785506047814,12.78309344295118
146.0,8.937818979345629,12.859596369213763
147.0,9.001114836190533,12.936363372704745
148.0,9.064672232331956,13.013393182155236
149.0,9.128490316784772,13.090684531151542
150.0,9.192568232178322,13.168236158129607
