Lambda,avgtrain,testavg
10,6.013181929067387,10.660415500664866
20,3.679501107883224,6.3879786908229494
30,2.947617551164443,5.791962679334872
40,2.446835551174154,5.420172241003921
50,2.836823573889966,5.095269099051523
60,2.662161869567913,5.08697259162847
70,2.918525611598275,5.0835646936584284
80,2.692495546244135,4.971124675988109
90,2.6597756043558793,4.949016087206179
100,2.813510691879039,5.004373237893137
110,2.6862698953497675,4.932415202294925
120,2.7024631994161767,4.8314543746197804
130,2.8275049016097986,4.864368752177616
140,2.77383357204372,4.912682005957778
150,2.961623916750253,4.83388223530438
160,2.946931917305889,4.844796710094086
170,2.883324546979914,4.788218214123524
180,2.9712751072256096,4.8018576713468155
190,2.934360863806138,4.743276522367798
200,2.784157153010669,4.784357935246439
210,2.877442840920574,4.812040522129828
220,2.8867266328619356,4.745416442813843
230,2.897122873228817,4.735056647555507
240,2.8807887902076748,4.754360460228128
250,2.9281504999523014,4.711625826137668
260,2.9413488863768333,4.712665916194468
270,2.848225956478101,4.731592374913174
280,2.9386221306109226,4.740369428280827
290,2.829775441223664,4.751538648340386
300,2.923742127745699,4.707176880571079
310,2.9817813567015703,4.6948648665467
320,2.9389960791636427,4.679700592340371
330,3.061432965171774,4.716275048563856
340,2.936464352849369,4.659930717852195
350,3.082862428878259,4.651599442275091
360,2.9682939255915963,4.692092616169835
370,2.8685766381058335,4.62998832983194
380,2.980735172790994,4.651654541092264
390,2.98490515038951,4.653934031412988
400,2.9490154784796774,4.651881260081885
410,3.0646754166291044,4.727266321412776
420,3.0168994227656603,4.6480494187139705
430,2.955583496691263,4.635118908676388
440,3.0054206750013606,4.626639655984102
450,3.10398979403334,4.69565137142427
460,2.9994598301548714,4.646203618654918
470,2.977189826190508,4.635145643215509
480,3.136284853718182,4.643538802427204
490,3.070550777850009,4.57684420195778
500,3.087874066045251,4.613781134754924
510,3.158786850697564,4.6450063013808505
520,2.984555947690365,4.580900900999238
530,3.0490246839988653,4.6236220511471355
540,3.054861439861055,4.58698615612274
550,3.041854707943608,4.585968748270668
560,3.0313862095819024,4.62248774736126
570,3.0528310912904977,4.562837673395793
580,3.063461513693931,4.614266863461594
590,3.036609133043597,4.63031862594164
600,3.04085405204809,4.592448462217282
610,3.0717857447970682,4.608386717176649
620,3.1336323412916247,4.604279395501687
630,3.0377670645123187,4.630436640402511
640,3.1390535467158056,4.60737337422627
650,3.0219773276071384,4.5984256260088845
660,3.0755317629878087,4.530442048664089
670,3.042709533224873,4.622639807064261
680,3.0371097222664365,4.603331262343742
690,3.095727199412916,4.521344987165012
700,3.1152857623346026,4.584132870755315
710,3.1420233266068816,4.590787916037155
720,3.1059434143308433,4.581023039152268
730,3.160673559126441,4.571383908374005
740,3.115648580285373,4.562583763112283
750,3.1352760440028136,4.578098867968575
760,3.2022789658236235,4.556845587374366
770,3.124817924956378,4.581190989542413
780,3.167117369412678,4.606239464659047
790,3.1595491305540007,4.540735568704265
800,3.1121192777230227,4.593365794537146
810,3.2283543283731992,4.561953960053118
820,3.179472154917733,4.575914223188849
830,3.1926580532815922,4.5707531353840585
840,3.158518369099851,4.58498901820701
850,3.1003870756632677,4.592803360145009
860,3.160295862082182,4.57564685641877
870,3.122133599609947,4.534115991425854
880,3.159558954019198,4.538865855426749
890,3.19436311933014,4.539562143849065
900,3.1366285620847014,4.535312707682176
910,3.108513179925571,4.560092006547234
920,3.190488604041943,4.529087248205432
930,3.176395811211427,4.567984749543487
940,3.1474953463697153,4.550890985267774
